,Insult,Date,Comment
6,0,20120503012628Z,"""Yeah and where are you now?"""
16,1,20120320162532Z,"""You with the 'racist' screen name\n\nYou are a PieceOfShit.........."""
26,0,20120529025329Z,"""Strange you are talking about that when there were Chelsea fans in here belittling the Community Shield"""
36,0,20120530111709Z,"""mitt isn't the best candidate for president.......but, going against the worst\xa0candidate\xa0ever should help him tremendously. \xa0LOL\xa0\n\nobama is one and done......it could happen no other way."""
46,0,20120529201852Z,"""You right if you are relaxe then you can give better result or perform and your identity should be from your work."""
56,0,20120529022638Z,"""You seem wistful."""
66,0,20120620015832Z,"""thats a pathetic flop fuck you jvg"""
76,0,20120620001100Z,"""I'll take that temp...I really hate the heat"""
86,0,20120529200220Z,"""Suh had a sack the last time they played."""
96,1,20120611215519Z,"""I think the only trickle that effected you was the trickle of sperm your dad gave your mom and most of that trickled down her leg.   Go back to sleep, we will wake you when you are needed again."""
106,1,20120619190700Z,"""Pig Maher, you forgot your meds again. You know you are one sick SOB so don't forget."""
116,0,20120612023024Z,"""Blown is  a little pissy after he applied for a union job and was turned down.  He is just another good republican minion spreading today's message."""
126,0,20120528033457Z,"""""This was a tough loss for us, right now there are guys blowing each other in the locker room.""\n\n-Scott Brooks"""
136,1,20120610162400Z,"""floyd has a better knock out percentage than pacman you dumb fuuuuck"""
146,0,20120609231913Z,"""The wonders of PLASTIC SURGERY <3"""
156,0,20120619001635Z,"""they are pecking him to death he gives up ugly runs"""
166,1,20120612051753Z,"""Nothing worse then a idi0t who smugs because of who he is, Gay"""
176,0,20120530113019Z,"""Don't stand on your porch."""
186,0,20120528195900Z,"""If they deleted his post, I wold surely be banned for my flaming all over Joe. :)"""
196,0,20120609171819Z,"""""When Is Bush going to be asked to campaign for Romney. When he does I'll buy you a dinner. I wonder why Bush is NOT  wanted.""\n\nThe BETTER question is why a SITTING PRESIDENT LIKE OBAMA IS NOT WANTED!\n\nNotice he did 7 fundraisers the weekend before the vote all around WIsc. NEVER stopped in WISC.\n\nNotice NO ONE wants his help campaigning?"""
206,0,,"""Headlines going to be in a few months, Mark WRIGHT reject back home"""
216,0,20120611233921Z,"""How the fuck do you have Orange Beef but not Orange chicken?"""
226,1,20120619232324Z,"""That's because you're a nobody."""
236,0,20120619000810Z,"""I like you aggie."""
246,0,20120528051839Z,"""Maybe Republicans can't use filibusters in Union votes to grind all decisions to a halt.\n\n60% is probably enough to win elections there."""
256,0,20120528164632Z,"""Nice smelling...er, spelling sphincter"""
266,0,20120612120920Z,"""From your computer through their website."""
276,0,20120611225506Z,"""very sorry about robin, however I can guarantee that if this was a story about just your average person it wouldn't be getting this much attention. sorry if its offensive but tough shit its the truth and you all know it."""
286,0,20120530020330Z,"""A Combination, he is a drunk we all welcome but has a crazy streak"""
296,0,,"""LOL....and he told them to go suck your man child messiah's big toe.....\\n\\n\\nLOL...."""
306,0,20120528134807Z,"""Just like the media has ventured to compare MAnu to Kobe, but where were you then?"""
316,0,20120527222110Z,"""Man I see why you celtics claim to be classy."""
326,0,,"""@tlgiguere I remember first seeing mike in board james  and finding out he plaed the joker in the batman reviews  and bugs bunny and all that awesome stuff,  I was actually saying, I'd like to see more from him.  While I do miss seeing James more then we are,  he's making the movie so its understandable. Just think how boring it would be around here WITHOUT mike right now,  I'm glad he's stepped up to help out more."""
336,0,20120610003805Z,"""Here he is explaining how they tried to have him killed for propaganda purposes.\n\nhttps://www.youtube.com/watch?v=NXeXl1SDU8c&feature=plcp"""
346,0,20120620013335Z,"""72913781 post del thiago\nhttp://profile.ak.fbcdn.net/hprofile-ak-ash2/276507_199950953390996_326587_n.jpg"""
356,0,,"""Celebrity Big Brother IS a mistake."""
366,1,,"""go back to sucking your neighbors dogs dick"""
376,0,20120620170653Z,"""IN THE LIAR'S OWN WORDS:\n\n\n\n\nFlashback 2007: Obama attacked trying \u2018to hide behind\nexecutive privilege\u2019 \n\nCNN\u2019S LARRY KING: \u201cDo you favor executive privilege or should Karl Rove and\nothers in that like position be forced to testify before the House or Senate?\n\n\n\nOBAMA:\n\u201cWell, you know, I think we\u2019ll \u2014 we\u2019ll determine over the next several weeks\nhow this administration responds to the very appropriate call by Patrick Leahy,\nthe chairman of the Judiciary Committee, to have these individuals come in and\ntestify. You know, there\u2019s been a tendency on the part of this administration\nto \u2014 to try to hide behind executive privilege every time there\u2019s something\na little shaky that\u2019s taking place. And I think, you know, the administration\nwould be best served by coming clean on this. There doesn\u2019t seem to be any\nnational security issues involved with the U.S. attorney question. There\ndoesn\u2019t seem to be any justification for not offering up some clear, plausible\nrationale for why these \u2014 these U.S. attorneys were targeted when, by all\nassessments, they were doing an outstanding job. I think the American people\ndeserve to know what was going on there.\u201d"""
386,0,,"""The cleverest comment that I have seen for a long time, I think that it was in the Mail\\n\\n \\n\\n\\'Arshavin is the worst Russian Sub since the Kursk"""""
396,0,20120619111454Z,"""What the fuck?! Kane loses again?! Has he won a match since going back to wearing a mask?!"""
406,1,20120530024052Z,"""you're a tard"""
416,0,20120529201217Z,"""I liked the Cersei arc in book 4, the rest of it was fairly forgettable."""
426,1,20120620133150Z,"""But Bellinski you are a Jewish Feigle yourself !"""
436,1,20120612094948Z,"""Must really suck to be black. What a toxic, vile culture."""
446,0,20120610002710Z,"""He had a democratic congress at first and still got nothing done. Even his Hollywood friends are jumping ship."""
456,0,20120529144329Z,"""Sorry, you are wrong again and as usual."""
466,0,20120620154302Z,"""Hardly.  We can export all the arms we want legally.\n\nHow ridiculous of you to compare the two."""
476,0,,"""Jasamoah25\\n\\nAnd what message does it give to other 'terror' suspects if the UK are this soft to let him stay? Oh yes, we become a terrorist haven. Good one."""
486,0,20120619140350Z,"""I have long been a Tuck fan and I weas most disturbed during those times that he was asigned to the two's. Shane you are a GUN IN THIS TEAM and you\xa0 deseerve all the accolades that you\xa0 recieve this year. You have your old man's pedigree so I hope to see you playing for many more years to come."""
496,0,20120529142134Z,"""YEAH YOU'RE RIGHT, NO ONE SHOULD EVER TRY TO RESIST BEING SENT TO AN UNJUST WAR BY CORRUPT LEADERS. EVENTUALLY THEY WILL LEARN THAT IT'S WRONG TO DO THAT, AND UNTIL THEN WE SHOULD ALL JUST SHUT OUR MOUTHS AND ""SUPPORT THE TROOPS"" \xa0USA! USA! USA! USA! USA!"""
506,0,20120530031427Z,"""The Muslim Brotherhood has been in the USA for a hundred years. I liken them to say...............The Masons ................The Knights of Columbus......."""
516,1,20120610155532Z,"""so basically you are an id iot who just repeats what maddow and rev al have to say."""
526,0,20120515153348Z,"""you left off the BRO"""
536,1,20120610111806Z,"""fuck your god."""
546,0,20120609232653Z,"""UncoolOlga nigga please i'm a girl you're a dog jaden is mine"""
556,1,20120609193400Z,"""wow your just as dumb as look"""
566,0,20120530015133Z,"""Don't forget McCann was the reason National League broke the losing streak. ;)"""
576,0,,"""Please site that source, considering over half of americans think gay marraige should be legal"""
586,0,20120619185457Z,"""How many times have i heard watch out ipad or ipod and shit never happens. Its cuz you dont know it but Apple stays 5 steps ahead at all times!!!!"""
596,0,20120619225937Z,"""@SaintMarty\xa0\xa0@Flip\xa0\xa0@akus\xa0TWSS"""
606,1,20120612002722Z,"""Like you Know Fck Face."""
616,1,20120609223255Z,"""u buy shoes so people say they look BAD? nigga please dont think u so special u dont want ppl giving you compliments on your fresh gear, fuck outta here dumb nigga"""
626,0,20120619001050Z,"""I have a transformer prime and hate it, almost everything positive you read about this tablet is untrue.\nNot fast or responsive (AT ALL)\nterrible build quality, I had to send it back to ASUS because of dead pixels and defective screen\nhorrible wifi signal quality, cant get a decent lock on the other side of my tiny house\nand I love android and ICS, but every app on the prime has lockup and crash issues CONSTANLY\n\nfucking terrible device from a terrible manufacturer, go for Samsung, fuck ASSUS"""
636,1,,"""You are a fool."""
646,0,20120527221152Z,"""Again why are you talking about Heat fans instead of the actual team?"""
656,1,20120620012007Z,"""Fact:  Radical Comic Creator is written with Real Basic.\n\nYou have argued against this fact.  Please go to the project page on Github and see for yourself.  \n\nFact:  Lunduke has now consumed $2000 worth of time, has begged for additional money for hardware, and has not delivered on his promise as of yet.\n\nFact:  You think that I am an ignorant hillbilly though you frequently insert symbols into your responses and use improper numerology when describing a number.  You habitually forfeit grammar and partially form words.  In addition to that, your stream of consciousness is a collection of poorly constructed sentence fragments.  In short, your English sucks dick.\n\nFact:  You think that the Internet is the only place where you have freedom of speech?  I'm on the Internet and I'm in America and I just said whatever the fuck I wanted to. \n\nI implore you to argue these facts directly."""
666,0,20120619012229Z,"""You seem to have a theng for crystal balls."""
676,0,20120502131128Z,"""Michelle, did you have a macro lens or is this just off something like a 18-55mm?"""
686,1,20120609185125Z,"""You seem racist you dumb ho. Why not start crying about slavery, even though \xa0you were never there. I'm Irish my ancestors were slaves too. Do you hear Irish-whitey crying for a handout? I am not afraid of black people. In fact i never met a nigg*r that I couldn't beat up. And stop being afraid of whitey's sexu*l prowess, you black girls love white men and you know it. Maybe because we raise our own children, something nigg*s been dodging since the day he was born. Or maybe you are afraid of our intelligence and education. Afraid of black people..LOLOLOLOLOLOLOLOLOLOLOLOLOLOLOLOLO. Anyway back to the slavery issue. We bought you and your nig*ets from other black peeps. Which means that you were sold to us by black people. So get mad at them, not us. They sold out they own race, bit*h. Now bl*w me you stupid, nig*a, ho, since that's all your mouth is good for. \xa0 b"""
696,0,20120612141548Z,"""Otra historia estaria contanto\xa0 el\xa0 senador Escalona si\xa0 en 1990\xa0 el\xa0 Binominal\xa0 no\xa0 ubiese estado\xa0 y la UDI y RN con un 32% de los votos de la epoca obtuviera 50% de los esca\xf1os de diputados y en\xa0 el\xa0 senado\xa0 no\xa0 Ubiesen\xa0estado\xa0 los 11 senadores designados.\nQuienes han\xa0 protgido\xa0 entonces la mal\xa0 llamada obra de la inequidad en\xa0 Chile entonces \xbf??\xbf?\xbf?\xbf .. los mismo\xa0 que hoy nos gobiernas , pues los cuorum\xa0 para cambiar leyes economicas y debito\xa0 fiscal\xa0 tenian\xa0 que pasar por cierto\xa0 por RN y La UDI.... \nQue mala memoria de los que bomitan\xa0 odio y balas en este foro"""
706,1,20120620035012Z,"""Wow way to tell us how rich you are...stupid yuppie."""
716,0,,"""I think you are confusing the way things are with the ways things should be. Operations is everyone's responsibility, but it should not be that way. See http://blog.appfog.com/what-is-noops-anyhow/ for more detail.\\n\\n \\n\\nAlso, I did not coin the term NoOps, it was coined by Forrester in April 2011 (http://www.forrester.com/rb/Research/augment_devops_with_noops/q/id/59203/t/2).\\n\\n \\n\\n """
726,0,,"""@tol1d7 I think that is the whole point, I would appear that one of these politicians may have been directly affected by the drain on England known as immigration.  Too little too late if you ask me.  As another mentioned on here, if someone was qualified to make that kind of money they would use their trade elsewhere!!"""
736,0,20120529043529Z,"""Arsenal are glory hunters? We don't park the bus and we don't spend 35 mil just because we love a pony tail player who can only wait for corners."""
746,0,20120612001849Z,"""<i>""We got no class, no taste, no shirt, and shit faced""</i>\nMore Nickelback lyrics for your listening pleasure."""
756,0,20120530115516Z,"""What ""modified by editor"" feature are you talking about?"""
766,0,20120609184459Z,"""That's the quote from Konstantin Eduardovich Tsiolkovsky, the father of Russian space science. \n\n\nYou are profoundly learned."""
776,0,20120530144154Z,"""you talk crap.\xa0 Nothing shooting does ""endangers many species of birds and animals"" but you are welcome to now give us examples of this.\n\nSo go on, name some animals and birds endangered by shooting."""
786,0,20120619111349Z,"""hey! Jamie ... allkpop is not being biased .. they're just writing the fucking truth out of all those idols out there"""
796,0,20120514050401Z,"""stupid cuz Kara girls always have shorts under skirts or dresses...it's ok I can't see shit anyways! still luv her!"""
806,0,,"""Bear with me for a sec. George Stephanopoulos is Greek right. Greece is rioting. Quit Riot.Cum on Feel the Noise. Bring in da noise, Bring in the funk. Bring the Pain. Method Man. Barack Obama's method to take over the USA is to hire George Soros and Media Matters to make Dick Morris suck on toes on Hannity's show to totally make Fox News look like a bunch of pinky toe licking con artists, discrediting awesome guys like Glen Back and Oliver North. Go ahead call me crazy."""
816,0,20120619123826Z,"""oh shit ....the one with the tattoos Id suck him dry!!!"""
826,0,20120609192954Z,"""Hahaha nigga We CP in that ATL on yo ass bring those pussy ass niggas more blood on your pussy hands can handle your own fights. 1712 Temple Ave College Park, GA 30337....you aint bout that life and I bet tonite tomorrow to next year ill still sleep like a baby"""
836,0,20120611224327Z,"""I guess this is Obama's version of ""I like firing people..."""""
846,0,20120530011140Z,"""Oh...so some unions are ok..?? Who would decide which ones go..???"""
856,1,20120610133144Z,"""Leidiot is a disgusting leader""less"", moronic, self serving, egotistical, selfish, bullying, idiotic, clown like, deceitful and hateful scumbag."""
